epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
88,696.784,0.31844,0.25535,0.82828,1,0.99975,0.995,0.96557,0.31225,0.22207,0.83415,0.0008516,0.0008516,0.0008516
89,704.675,0.31357,0.2584,0.81748,0.99991,1,0.995,0.96772,0.31783,0.22682,0.8361,0.0008384,0.0008384,0.0008384
90,712.459,0.32205,0.26279,0.82793,0.99969,1,0.995,0.9622,0.32379,0.22611,0.83994,0.0008252,0.0008252,0.0008252
91,720.267,0.30822,0.25603,0.81705,0.99975,1,0.995,0.96101,0.31262,0.22336,0.8369,0.000812,0.000812,0.000812
92,728.191,0.31083,0.25404,0.82124,0.99548,1,0.99483,0.96453,0.29994,0.22234,0.83624,0.0007988,0.0007988,0.0007988
93,736.051,0.31137,0.25783,0.81924,0.99971,1,0.995,0.96254,0.31246,0.22058,0.83586,0.0007856,0.0007856,0.0007856
94,743.958,0.30954,0.24981,0.81902,0.99569,0.99981,0.995,0.96263,0.30952,0.21188,0.83712,0.0007724,0.0007724,0.0007724
95,751.988,0.30584,0.2476,0.82033,0.99569,0.99957,0.995,0.96649,0.30645,0.21553,0.83244,0.0007592,0.0007592,0.0007592
96,759.813,0.3127,0.24847,0.81792,0.99975,1,0.995,0.96207,0.31144,0.21699,0.83629,0.000746,0.000746,0.000746
97,767.724,0.29452,0.24125,0.81648,0.99974,1,0.995,0.96773,0.30712,0.21036,0.83566,0.0007328,0.0007328,0.0007328
98,775.571,0.317,0.24932,0.82676,0.99973,1,0.995,0.97224,0.3004,0.21385,0.83207,0.0007196,0.0007196,0.0007196
99,783.459,0.30203,0.24089,0.82191,0.99952,1,0.995,0.96637,0.30274,0.21936,0.82946,0.0007064,0.0007064,0.0007064
100,791.277,0.29667,0.23417,0.81907,1,0.99972,0.995,0.96487,0.30651,0.21508,0.83352,0.0006932,0.0006932,0.0006932
101,799.103,0.302,0.23643,0.82013,0.99973,1,0.995,0.96858,0.30891,0.21109,0.83155,0.00068,0.00068,0.00068
102,806.883,0.29714,0.24146,0.81052,0.99964,1,0.995,0.9681,0.29814,0.20989,0.83244,0.0006668,0.0006668,0.0006668
103,814.755,0.29153,0.23828,0.81518,0.9999,1,0.995,0.97048,0.28706,0.2057,0.82077,0.0006536,0.0006536,0.0006536
104,822.633,0.28748,0.23521,0.81714,0.99981,1,0.995,0.96774,0.29191,0.21201,0.82418,0.0006404,0.0006404,0.0006404
105,830.433,0.29022,0.23017,0.82481,0.99969,1,0.995,0.96942,0.29417,0.20598,0.82559,0.0006272,0.0006272,0.0006272
106,838.247,0.28831,0.22686,0.81191,0.99972,1,0.995,0.97493,0.28409,0.2032,0.82324,0.000614,0.000614,0.000614
107,846.095,0.28388,0.23003,0.80717,0.99975,1,0.995,0.97083,0.28892,0.20162,0.82793,0.0006008,0.0006008,0.0006008
108,853.978,0.28934,0.22919,0.81687,0.99974,1,0.995,0.96579,0.28977,0.19854,0.8329,0.0005876,0.0005876,0.0005876
109,861.866,0.28986,0.22874,0.81131,0.99976,1,0.995,0.96783,0.29322,0.20186,0.83947,0.0005744,0.0005744,0.0005744
110,869.883,0.28763,0.23465,0.81998,0.99975,1,0.995,0.96872,0.29253,0.19957,0.83658,0.0005612,0.0005612,0.0005612
111,877.677,0.28408,0.22352,0.80859,0.99976,1,0.995,0.96917,0.28872,0.19999,0.83026,0.000548,0.000548,0.000548
112,885.531,0.28114,0.22548,0.81881,0.99935,1,0.995,0.96665,0.28588,0.20207,0.83242,0.0005348,0.0005348,0.0005348
113,893.457,0.28757,0.23156,0.81715,0.99133,1,0.99491,0.96929,0.28641,0.20521,0.8319,0.0005216,0.0005216,0.0005216
114,901.317,0.28653,0.22811,0.81367,0.99542,1,0.995,0.96677,0.29073,0.207,0.82827,0.0005084,0.0005084,0.0005084
115,909.115,0.28891,0.22811,0.81761,0.99941,1,0.995,0.9673,0.28616,0.19881,0.82615,0.0004952,0.0004952,0.0004952
116,916.975,0.28326,0.22989,0.81197,0.99916,1,0.995,0.97167,0.27616,0.19418,0.82326,0.000482,0.000482,0.000482
117,924.889,0.26534,0.21031,0.80439,0.99972,1,0.995,0.96897,0.28463,0.19003,0.83088,0.0004688,0.0004688,0.0004688
118,932.774,0.27523,0.21892,0.81236,0.99974,1,0.995,0.96962,0.2797,0.192,0.83404,0.0004556,0.0004556,0.0004556
119,940.718,0.2795,0.22232,0.81085,0.99974,1,0.995,0.97001,0.28414,0.19482,0.83375,0.0004424,0.0004424,0.0004424
120,948.628,0.27902,0.21921,0.81705,0.99975,1,0.995,0.97042,0.2798,0.1914,0.82995,0.0004292,0.0004292,0.0004292
121,956.448,0.26063,0.21252,0.80748,0.99976,1,0.995,0.97675,0.27512,0.19339,0.82955,0.000416,0.000416,0.000416
122,964.3,0.27034,0.2174,0.81154,0.9997,1,0.995,0.96763,0.27704,0.19483,0.82535,0.0004028,0.0004028,0.0004028
123,972.343,0.27918,0.21514,0.81859,0.99977,1,0.995,0.97066,0.27832,0.18977,0.82908,0.0003896,0.0003896,0.0003896
124,980.241,0.27067,0.21474,0.81272,0.99967,1,0.995,0.97063,0.2782,0.18809,0.82821,0.0003764,0.0003764,0.0003764
125,988.083,0.26771,0.21809,0.80795,0.9972,1,0.995,0.96782,0.28011,0.19001,0.83009,0.0003632,0.0003632,0.0003632
126,996.162,0.26958,0.21803,0.80774,0.99562,1,0.995,0.96821,0.27661,0.18844,0.82857,0.00035,0.00035,0.00035
