epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
69,708.503,0.31093,0.25856,0.82002,0.99973,1,0.995,0.95945,0.30512,0.21139,0.83478,0.0011024,0.0011024,0.0011024
70,718.69,0.30862,0.24751,0.82303,0.99989,1,0.995,0.96794,0.3002,0.21734,0.82851,0.0010892,0.0010892,0.0010892
71,728.87,0.3115,0.24829,0.83022,0.9998,1,0.995,0.96454,0.31399,0.22126,0.83954,0.001076,0.001076,0.001076
72,739.07,0.31233,0.24163,0.82848,0.99631,1,0.995,0.96441,0.29778,0.21083,0.83041,0.0010628,0.0010628,0.0010628
73,749.32,0.32743,0.25369,0.83772,1,0.99973,0.995,0.96687,0.29935,0.20955,0.83722,0.0010496,0.0010496,0.0010496
74,759.525,0.32542,0.25503,0.83134,0.99549,1,0.995,0.96097,0.32021,0.22471,0.83645,0.0010364,0.0010364,0.0010364
75,769.73,0.31783,0.24966,0.83168,0.99973,1,0.995,0.96444,0.31114,0.21485,0.83999,0.0010232,0.0010232,0.0010232
76,779.958,0.31294,0.25064,0.82187,0.99977,1,0.995,0.96659,0.295,0.21143,0.82925,0.00101,0.00101,0.00101
77,790.166,0.31312,0.24977,0.81928,0.99967,1,0.995,0.96644,0.30073,0.20809,0.83317,0.0009968,0.0009968,0.0009968
78,800.345,0.31329,0.25041,0.8213,0.99974,1,0.995,0.96815,0.29495,0.21129,0.8231,0.0009836,0.0009836,0.0009836
79,810.602,0.29999,0.24034,0.8305,0.99976,1,0.995,0.96476,0.29775,0.20913,0.8329,0.0009704,0.0009704,0.0009704
80,820.851,0.29953,0.23738,0.8227,0.9999,1,0.995,0.96005,0.29722,0.2031,0.83619,0.0009572,0.0009572,0.0009572
81,831.241,0.29676,0.23264,0.81738,1,0.99932,0.995,0.96564,0.29459,0.21488,0.83381,0.000944,0.000944,0.000944
82,841.483,0.30363,0.23894,0.82578,0.99994,1,0.995,0.96657,0.29449,0.20475,0.82749,0.0009308,0.0009308,0.0009308
83,851.736,0.30618,0.23997,0.82511,0.9999,1,0.995,0.96564,0.30193,0.20807,0.83222,0.0009176,0.0009176,0.0009176
84,861.895,0.29878,0.24022,0.81927,0.99569,0.99987,0.99457,0.96949,0.28897,0.20329,0.83152,0.0009044,0.0009044,0.0009044
85,872.137,0.3097,0.2383,0.8208,0.99975,1,0.995,0.96942,0.29001,0.19896,0.82942,0.0008912,0.0008912,0.0008912
86,882.286,0.28736,0.23022,0.81285,0.99972,1,0.995,0.96874,0.29908,0.20216,0.83615,0.000878,0.000878,0.000878
87,892.474,0.2945,0.22851,0.81716,0.99859,1,0.995,0.96624,0.28619,0.20523,0.82729,0.0008648,0.0008648,0.0008648
88,902.692,0.29444,0.22766,0.82716,0.99973,1,0.995,0.97029,0.28596,0.20257,0.82739,0.0008516,0.0008516,0.0008516
89,912.931,0.29159,0.22899,0.81599,0.99973,1,0.995,0.96983,0.29219,0.201,0.82973,0.0008384,0.0008384,0.0008384
90,923.122,0.28118,0.23185,0.82244,0.99977,1,0.995,0.97395,0.28392,0.19317,0.82678,0.0008252,0.0008252,0.0008252
91,933.36,0.28765,0.23076,0.81947,0.99967,1,0.995,0.97098,0.28985,0.19752,0.83225,0.000812,0.000812,0.000812
92,943.552,0.28957,0.2299,0.81629,0.99977,1,0.995,0.96985,0.28873,0.20151,0.82626,0.0007988,0.0007988,0.0007988
93,953.8,0.28536,0.2302,0.82035,0.9954,1,0.99483,0.9703,0.2779,0.19983,0.81903,0.0007856,0.0007856,0.0007856
94,963.961,0.28134,0.22848,0.81268,0.99941,1,0.995,0.96686,0.27621,0.19785,0.81775,0.0007724,0.0007724,0.0007724
95,974.157,0.2773,0.21818,0.80947,0.99967,1,0.995,0.97127,0.28249,0.1928,0.8217,0.0007592,0.0007592,0.0007592
96,984.299,0.28433,0.22319,0.81292,0.99546,1,0.995,0.97575,0.2752,0.18999,0.82477,0.000746,0.000746,0.000746
97,995.035,0.26981,0.21576,0.81543,0.99975,1,0.995,0.96902,0.28156,0.19012,0.82399,0.0007328,0.0007328,0.0007328
98,1005.82,0.29275,0.22435,0.82482,0.99976,1,0.995,0.977,0.27451,0.19541,0.82031,0.0007196,0.0007196,0.0007196
99,1016.1,0.27816,0.21557,0.81865,0.99975,1,0.995,0.97428,0.28209,0.19079,0.81861,0.0007064,0.0007064,0.0007064
100,1026.27,0.27281,0.21608,0.8166,0.99547,1,0.995,0.96957,0.28531,0.19349,0.81837,0.0006932,0.0006932,0.0006932
